"staging_key","name","poi_category","include_v1","coordinate_valid","feature_type","feature_type_code","latitude","longitude","datum","mapsheet","source"
"gazetteer:78c4a0a579b38b2c462adf25","Cowichan River Park","park_reference","True","True","Provincial Park","545","48.7722222178551","-123.895833333333","WGS84","92B/13","BC Gazetteer"
"gazetteer:8ee10a9acaabc65607aa96d1","Cowichan Station","populated_administrative","False","True","Community","121","48.7334417865567","-123.6665793","WGS84","92B/12","BC Gazetteer"
"gazetteer:118fa2186116bb44b7c5458b","Cowichan Valley Regional District","populated_administrative","False","True","Regional District","487","48.833119064156","-124.217982285901","WGS84","92C/16","BC Gazetteer"
"gazetteer:276cfc625fe5bec462fd29a5","Cowie Creek","freshwater","True","True","Creek (1)","602","49.5008333291712","-124.819722222222","WGS84","92F/10","BC Gazetteer"
"gazetteer:73d34592f7437aaad9ac53ae","Cowishil","terrain","True","True","Bluff (2)","2712","48.9763888845804","-124.995277777778","WGS84","92C/15","BC Gazetteer"
"gazetteer:b671a47ed3b91abae275c220","Cox Bay","coast_island","True","True","Bay","1400","49.1036111068387","-125.882777777778","WGS84","92F/4","BC Gazetteer"
"gazetteer:a23159a148cf0050128232a5","Cox Creek","freshwater","True","True","Creek (1)","602","49.6186111069809","-126.629444444444","WGS84","92E/10","BC Gazetteer"
"gazetteer:36265117e2922a96def90baf","Cox Creek","freshwater","True","True","Creek (1)","602","50.3022222182716","-126.413888888889","WGS84","92L/8","BC Gazetteer"
"gazetteer:6efd7bb40bd376b33753d78d","Cox Island","coast_island","True","True","Island","2300","50.8002777739515","-128.606111111111","WGS84","102I/15","BC Gazetteer"
"gazetteer:75ac390b097c581ea6ba0242","Cox Lake","freshwater","True","True","Lake","951","49.2069444402011","-124.763055555556","WGS84","92F/2","BC Gazetteer"
"gazetteer:87676062d7e96bb662d42aba","Cox Point","coast_island","True","True","Point","1604","49.0944444401694","-125.889444444444","WGS84","92F/4","BC Gazetteer"
"gazetteer:5418d2cbdc9a8889cb14178a","Crabapple Islets","coast_island","True","True","Islets","2308","50.185555551575","-127.834444444444","WGS84","92L/4","BC Gazetteer"
"gazetteer:3d540260897ed4e420638d0c","Crabapple Lake","freshwater","True","True","Lake","951","48.4605555510971","-123.655","WGS84","92B/5","BC Gazetteer"
"gazetteer:c6bad19307b0d21bebe14be5","Cracroft","populated_administrative","False","True","Locality","108","50.5261552137415","-126.381984746834","WGS84","92L/9","BC Gazetteer"
"gazetteer:9bbc18103c26f186bbda4480","Cracroft Inlet","coast_island","True","True","Inlet (3)","1411","50.5944444405674","-126.324722222222","WGS84","92L/9","BC Gazetteer"
"gazetteer:f43a10dfb95168d8d6b72111","Cracroft Islands","coast_island","True","True","Islands","2301","50.5638888850043","-126.35","WGS84","92L/9","BC Gazetteer"
"gazetteer:fcd944d2ad17d9c2224913d1","Cracroft Point","coast_island","True","True","Point","1604","50.5499999961119","-126.679166666667","WGS84","92L/10","BC Gazetteer"
"gazetteer:a011517aab77c9230f49b666","Craft Creek","freshwater","True","True","Creek (1)","602","50.394999996073","-127.253888888889","WGS84","92L/6","BC Gazetteer"
"gazetteer:c4a91abdd4ded34cd033cdeb","Cragg Creek","freshwater","True","True","Creek (1)","602","48.5199999955592","-123.780277777778","WGS84","92B/12","BC Gazetteer"
"gazetteer:61836628fde770293f1d1d5e","Craig Bay","coast_island","True","True","Bay","1400","49.3127777735639","-124.2525","WGS84","92F/8","BC Gazetteer"
"gazetteer:98fad94d6b8583e570de4277","Craig Creek","freshwater","True","True","Creek (1)","602","49.3036111068947","-124.238611111111","WGS84","92F/8","BC Gazetteer"
"gazetteer:42c4953292e631a6a824026b","Craig Hills","terrain","True","True","Hills","2706","50.9122222184232","-126.398055555556","WGS84","92L/16","BC Gazetteer"
